,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
213,214,AIV,0.84,1.80,-2.52%,1.42%,-18.81%,-31.48%,55.52%,47.66,38.15,-2.10%,-3.52%,1.46%,"3,560,948"
214,215,CCEP,0.58,1.70,-2.11%,-2.30%,-19.91%,-34.73%,35.70%,47.52,38.47,-3.34%,-4.02%,0.70%,"3,017,287"
215,216,HIW,1.00,1.96,-3.22%,2.73%,-11.11%,-26.84%,53.78%,48.66,38.60,-1.53%,-2.92%,1.43%,"2,552,491"
216,217,BPOP,1.27,2.11,-3.08%,2.91%,-20.39%,-37.04%,63.32%,50.51,38.69,-0.67%,-2.40%,1.77%,"1,237,169"
217,218,PWR,1.13,1.64,0.68%,8.89%,2.43%,-12.20%,62.85%,55.04,38.71,0.91%,-1.02%,1.96%,"1,989,439"
218,219,USB,1.17,2.04,2.35%,9.15%,-19.72%,-36.39%,37.06%,55.05,38.87,0.78%,-1.24%,2.05%,"42,483,547"
219,220,VNO,1.36,2.44,-2.02%,-0.70%,-27.89%,-42.99%,41.64%,48.84,39.15,-2.22%,-3.83%,1.67%,"4,175,034"
220,221,TFC,1.45,2.31,-0.45%,8.13%,-15.82%,-30.89%,63.85%,51.67,39.34,-2.86%,-5.09%,2.35%,"13,363,240"
221,222,AMTD,1.20,1.90,-0.53%,4.14%,-6.64%,-26.82%,42.64%,50.70,39.51,-0.58%,-1.96%,1.41%,"6,045,045"
222,223,HIG,0.96,2.18,-2.50%,4.01%,-22.42%,-36.29%,109.98%,50.09,39.98,-2.98%,-5.35%,2.50%,"9,044,566"
223,224,WPM,0.52,1.92,3.16%,4.98%,35.10%,-11.09%,124.65%,56.01,41.92,6.86%,5.62%,1.17%,"5,793,296"
224,225,WERN,0.86,1.74,-2.24%,1.40%,12.70%,-10.22%,46.81%,49.90,42.15,-3.01%,-4.31%,1.36%,"1,737,208"
225,226,KNX,1.38,1.44,4.58%,10.25%,15.60%,-1.93%,53.09%,64.40,42.16,-0.54%,-1.50%,0.97%,"3,432,421"
226,227,NUE,1.45,1.86,-0.41%,5.08%,-9.55%,-27.26%,55.13%,52.89,42.70,-1.88%,-3.35%,1.52%,"2,857,720"
227,228,NTAP,1.28,1.97,-1.50%,1.73%,-14.67%,-32.58%,27.18%,50.91,44.08,3.01%,2.11%,0.89%,"6,237,372"
228,229,WBA,0.56,1.75,3.14%,3.76%,-13.55%,-31.58%,20.41%,55.74,44.13,5.12%,3.88%,1.19%,"13,677,720"
229,230,MMP,1.07,2.04,-2.54%,3.53%,-18.67%,-34.64%,101.09%,49.53,44.28,-1.09%,-3.13%,2.10%,"1,844,034"
230,231,HXL,1.20,3.21,8.76%,28.65%,-28.33%,-49.00%,80.81%,61.40,44.37,-2.65%,-4.31%,1.73%,"12,917,594"
231,232,REG,0.94,2.97,-4.87%,4.94%,-21.43%,-36.37%,40.36%,49.11,44.63,-3.91%,-6.82%,3.12%,"3,414,806"
232,233,MTZ,1.45,2.67,7.25%,19.26%,-15.77%,-39.29%,98.80%,59.63,44.75,4.29%,2.68%,1.56%,"2,090,476"
233,234,XOM,1.33,2.25,-4.01%,1.49%,-21.24%,-40.99%,52.71%,47.39,45.98,-2.00%,-4.72%,2.86%,"48,867,926"
234,235,NTRA,1.38,2.30,7.61%,15.44%,28.97%,-5.59%,175.46%,63.24,46.47,1.04%,1.68%,-0.63%,"1,421,145"
235,236,LYV,1.12,3.31,-8.07%,4.56%,-21.68%,-39.28%,114.33%,47.08,46.51,-3.75%,-5.62%,1.99%,"4,035,626"
236,237,VOYA,1.41,2.02,-1.85%,4.05%,-10.89%,-27.10%,56.37%,50.37,46.52,-0.89%,-3.16%,2.34%,"2,621,389"
237,238,ENPH,1.10,5.35,-11.92%,-5.91%,35.39%,-33.60%,189.29%,45.84,46.72,2.19%,-0.19%,2.38%,"16,117,076"
238,239,MS,1.48,2.12,1.32%,12.16%,3.84%,-18.48%,72.54%,55.74,46.93,-1.37%,-3.59%,2.31%,"20,831,710"
239,240,ETFC,1.25,2.19,1.58%,12.82%,13.77%,-15.48%,88.00%,56.21,48.43,-1.22%,-3.28%,2.12%,"3,809,334"
240,241,IIVI,1.30,2.70,3.07%,24.43%,42.56%,-3.76%,158.68%,60.33,49.15,-2.05%,-3.63%,1.63%,"2,347,062"
241,242,CPA,1.46,3.95,-2.59%,5.73%,-39.87%,-57.93%,104.87%,47.98,49.17,-0.43%,-2.86%,2.51%,"683,009"
