No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
22,AZUL,60.40%,64.31%,-48.09%,-66.14%,-61.04%,-70.09%,9.11%,9.51%,2.60,2.43M,3.59,12.80,14.90%,"8,424,340"
23,ROIC,37.06%,50.70%,-15.77%,-28.97%,-24.52%,-27.12%,9.37%,7.75%,2.60,2.21M,1.50,12.87,5.93%,"3,289,832"
24,HBI,31.03%,34.58%,7.49%,-12.23%,-19.55%,-13.00%,5.80%,6.33%,2.80,9.74M,1.58,12.92,8.21%,"15,153,123"
25,RLJ,25.61%,67.53%,6.41%,-23.01%,-26.96%,-26.92%,9.06%,8.10%,2.50,3.21M,1.68,12.95,4.77%,"5,355,936"
26,PK,33.06%,66.84%,-19.66%,-44.62%,-52.02%,-49.44%,7.92%,8.46%,3.10,9.60M,1.95,13.08,9.36%,"18,370,118"
27,BPYU,29.26%,54.55%,-20.06%,-28.30%,-29.87%,-27.19%,7.03%,6.28%,-,1.42M,1.97,13.43,12.01%,"3,249,451"
28,DENN,24.25%,45.52%,-12.84%,-35.19%,-34.75%,-32.22%,10.24%,7.73%,1.90,1.34M,1.89,13.48,0.04%,"2,496,565"
29,JBLU,35.95%,70.70%,-1.37%,-29.14%,-23.60%,-26.87%,10.74%,8.37%,2.90,17.70M,2.80,13.69,5.15%,"48,444,840"
30,BLMN,20.25%,43.07%,-13.55%,-40.35%,-27.52%,-37.83%,7.32%,9.42%,2.10,3.99M,1.72,13.72,3.39%,"6,764,207"
31,UGAZ,-6.65%,-50.66%,-57.46%,-86.49%,-92.01%,-81.15%,9.99%,12.46%,-,10.07M,2.28,13.75,-4.18%,"22,559,680"
32,HST,17.34%,33.05%,4.09%,-19.96%,-22.52%,-24.47%,4.88%,5.70%,2.60,15.16M,1.83,14.01,7.27%,"27,611,364"
33,KEY,22.87%,40.54%,-2.08%,-23.73%,-14.05%,-28.06%,5.25%,5.42%,2.50,14.76M,1.64,14.56,7.61%,"24,089,400"
34,FAZ,-25.41%,-46.28%,-60.64%,-51.83%,-63.80%,-47.37%,5.47%,6.41%,-,5.36M,1.75,14.59,-10.87%,"9,225,905"
35,DLPH,18.09%,33.30%,21.20%,21.68%,-10.69%,18.55%,4.68%,4.93%,3.00,3.43M,1.62,15.21,7.26%,"5,594,827"
36,SRG,97.20%,96.21%,-49.92%,-63.18%,-61.75%,-61.28%,16.50%,13.09%,-,1.73M,3.05,15.52,26.28%,"5,074,133"
37,CXP,22.55%,26.83%,-17.72%,-23.75%,-30.36%,-25.39%,5.96%,5.76%,2.40,1.14M,1.86,15.60,4.70%,"2,070,457"
